dataset_name,test_name,T_train,C_train,R_train,S_train,N_train,DSC_train,CC_train,MSE_train,MSE_test
mnist,ShaRP-GT,0.7360330326718781,0.8995578444005383,0.2886855187348339,0.8572664011577201,0.9792666666666668,0.9578,0.17575757575757575,0.05449969321489334,0.054448649287223816
mnist,ShaRP-KMeans,0.8603275720871632,0.9044080176388054,0.13543785460385305,0.8591998869936753,0.7312666666666666,0.5938,-0.2121212121212121,0.05012234300374985,0.05116015300154686
mnist,ShaRP-AG,0.821529965925035,0.9104631560862468,0.16653208766022023,0.8585481263438322,0.7760666666666666,0.6692,-0.2727272727272727,0.052152782678604126,0.052659109234809875
mnist,SSNP-GT,0.7788963262033617,0.919622901812559,0.36154989710438906,0.5685199418923265,0.9926666666666668,0.9266,0.6,0.0522073395550251,0.05246131867170334
mnist,SSNP-KMeans,0.8808599146694156,0.9204380780574406,0.39181152029801164,0.32817282769021217,0.7566,0.464,-0.06666666666666665,0.04508667439222336,0.0464223176240921
mnist,SSNP-AG,0.8561548034246771,0.9240986914068092,0.21808727985850837,0.42029607260723395,0.8112,0.6382,-0.3939393939393939,0.0467640683054924,0.04810747876763344
mnist,AE,0.9117278584314062,0.913550073017782,-0.04795888308443209,3.0909729963231856,0.7408666666666666,0.4924,-0.6121212121212121,0.03958212211728096,0.04128221049904823
mnist,TSNE,0.9851763765999485,0.9721298399335682,0.4103736597182073,8.960688529452657,0.9446666666666667,0.7808,0.04242424242424241,-99.0,-99.0
mnist,UMAP,0.9572924376485411,0.9739122755776995,0.3851058403838429,0.2359143585699471,0.9176,0.8412,-0.34545454545454546,-99.0,-99.0
mnist,ISOMAP,0.7603036508890989,0.9594203476219111,0.5257981823560486,2.4670771273187664,0.6208666666666666,0.4896,0.5515151515151515,-99.0,-99.0
mnist,NNP,0.9405607880193568,0.9694174727257109,0.4074937555496996,0.9127318345724212,0.8793333333333332,0.7284,-0.006060606060606061,-99.0,-99.0
fashionmnist,ShaRP-GT,0.8216598860349913,0.9149273143773444,0.48208588494891325,0.8746259315561984,0.8546,0.8234,0.6242424242424242,0.04999289661645889,0.04974156990647316
fashionmnist,ShaRP-KMeans,0.9347630329582224,0.96110071872405,0.7309973085572583,0.8689388658128679,0.7071333333333334,0.6182,0.34545454545454546,0.03696224093437195,0.03797376900911331
fashionmnist,ShaRP-AG,0.9174274833204479,0.955846800103084,0.6983336072773706,0.8635964543718125,0.7108,0.6204,0.6969696969696969,0.03799929842352867,0.0387936607003212
fashionmnist,SSNP-GT,0.8651709074249062,0.931373347077857,0.38853482373137277,0.5385176762896414,0.9282666666666668,0.8656,-0.2727272727272727,0.044366735965013504,0.04491596296429634
fashionmnist,SSNP-KMeans,0.9614789966497723,0.9812904618732641,0.7218174181677864,0.1875430889782699,0.744,0.6496,0.6969696969696969,0.03012731857597828,0.03154722601175308
fashionmnist,SSNP-AG,0.9496918420525156,0.9748843054720385,0.7197942713523635,0.24248847776290655,0.7504666666666666,0.5388,0.8060606060606059,0.034112632274627686,0.03540679067373276
fashionmnist,AE,0.964047458694843,0.9765303954413996,0.5006274591811772,0.34354231586478984,0.7380666666666666,0.6284,-0.7333333333333332,0.027668103575706482,0.029146116226911545
fashionmnist,TSNE,0.9902396644045471,0.9871910946940412,0.6638282722586024,5.351140120422803,0.8430666666666667,0.656,0.7696969696969697,-99.0,-99.0
fashionmnist,UMAP,0.9810097929731123,0.9880534776508318,0.6421534079655413,0.1746428900460266,0.8035333333333333,0.6652,0.8303030303030302,-99.0,-99.0
fashionmnist,ISOMAP,0.9202375110958394,0.9755072645534462,0.7485720208956104,3.739864813029569,0.6846666666666666,0.5438,0.9393939393939393,-99.0,-99.0
fashionmnist,NNP,0.9661575294218709,0.9867578730349627,0.6786283002326786,0.9247223629892724,0.7718,0.656,0.8303030303030302,-99.0,-99.0
har,ShaRP-GT,0.821204529965925,0.8928767402571371,0.5435732365995101,0.7389118862647206,0.9616666666666668,0.955,0.14285714285714288,0.010380457155406475,0.010243991389870644
har,ShaRP-KMeans,0.8986417089024425,0.9237648254731838,0.5416085177037441,0.7409088554322976,0.7738666666666667,0.6322,0.08571428571428573,0.00802585668861866,0.008027344942092896
har,ShaRP-AG,0.8825366606534376,0.9252007502219168,0.5457933867233654,0.7440291199765217,0.7958666666666666,0.692,-0.14285714285714288,0.008522373624145985,0.008495673537254333
har,SSNP-GT,0.8822185837413739,0.9423716748274776,0.6395554863121197,0.41328619748309137,0.9910666666666667,0.9818,-0.6571428571428573,0.008756740018725395,0.008774965070188046
har,SSNP-KMeans,0.930574664261375,0.9592033845889528,0.5464211363985526,0.21031813617448344,0.8194666666666666,0.5878,-0.8285714285714287,0.007096308749169111,0.007120202761143446
har,SSNP-AG,0.9252986398648455,0.9655424619878017,0.6074154365507552,0.24501547125252393,0.8665333333333333,0.7768,-0.5428571428571429,0.007396433502435684,0.0073933787643909454
har,AE,0.9449296566732526,0.97350957821493,0.8253006859307762,0.30129920875958166,0.8224666666666666,0.6528,-0.6,0.006078667938709259,0.006172665394842625
har,TSNE,0.9920476190476191,0.9853938149643502,0.5781148406588574,48.56045339176635,0.9685333333333334,0.813,-0.3142857142857143,-99.0,-99.0
har,UMAP,0.9788276952151878,0.9886164304326661,0.769535695830672,3.6087367141093534,0.9346,0.7326,-0.028571428571428574,-99.0,-99.0
har,ISOMAP,0.9244267731867251,0.971091532800733,0.8991467750309872,12.019659465417853,0.8632,0.7294,0.7142857142857143,-99.0,-99.0
har,NNP,0.9668903702431063,0.984672582538728,0.6185765486971799,0.8455827228288397,0.9057333333333334,0.812,-0.14285714285714288,-99.0,-99.0
reuters,ShaRP-GT,0.5503632734873866,0.6898729032442803,0.005846735034956013,0.6717819442244478,0.9488666666666666,0.7392,-0.942857142857143,0.001375548541545868,0.0013735790271311998
reuters,ShaRP-KMeans,0.5894844543710449,0.759928156229419,0.09063835339829142,0.6786293149335233,0.7322666666666666,0.6328,-0.8285714285714287,0.0013084355741739273,0.0013133827596902847
reuters,ShaRP-AG,0.5846057383386307,0.7061627752484037,0.13749578186223174,0.6654963916743729,0.7399333333333333,0.5942,-0.5428571428571429,0.0013178542722016573,0.0013239928521215916
reuters,SSNP-GT,0.5848862239784669,0.7604673080777711,0.3246630930323891,0.48788075085862537,0.9788,0.9694,-0.3714285714285715,0.0013685449957847595,0.0013688605977222323
reuters,SSNP-KMeans,0.6159142398992068,0.8163512813904876,0.26550563731587384,0.6009020182474121,0.7497333333333333,0.634,-0.2,0.0012924954062327743,0.001295538037084043
reuters,SSNP-AG,0.6043305328866363,0.7895331386192481,0.2255084893074096,0.2696213894484499,0.7534666666666666,0.649,-0.4285714285714286,0.0013096509501338005,0.0013557716738432646
reuters,AE,0.637472009850242,0.7512138876957879,0.18639356979104552,1.6226009542475264,0.8092666666666666,0.7054,-0.2,0.0012805565493181348,0.0013110617874190211
reuters,TSNE,0.7422299229733986,0.9118259599690748,0.020951228154071407,30.81581100696694,0.8458,0.5802,-0.6,-99.0,-99.0
reuters,UMAP,0.662221836611975,0.8623307676889156,-0.10722471517337112,2.045088984390642,0.7588666666666666,0.5172,-0.2571428571428572,-99.0,-99.0
reuters,ISOMAP,0.6247128139048764,0.7560639063081637,-0.15318086784210563,1.8336774722798295,0.7528666666666666,0.5396,-0.4285714285714286,-99.0,-99.0
reuters,NNP,0.6871007702660138,0.9095326690146894,0.016267969255274326,0.8204838013849353,0.7965333333333333,0.5666,-0.6,-99.0,-99.0
usps,ShaRP-GT,0.7949136328494115,0.9063584170890244,0.4075348223749342,0.7649031275061212,0.9722,0.9308,0.16363636363636364,0.04476309770318324,0.04552054909321586
usps,ShaRP-KMeans,0.8900991667382527,0.9351800818944536,0.4145644954094958,0.756432799068894,0.8114666666666666,0.6402,0.10303030303030303,0.0371333355164027,0.038382360605784746
usps,ShaRP-AG,0.8697291355267303,0.9455901325773846,0.4016485122208412,0.779454024334279,0.8432,0.735,0.2727272727272727,0.039012703188169434,0.039873033468562934
usps,SSNP-GT,0.8699702201987229,0.9541159121495862,0.5084707701938115,0.5550248146149053,0.9908666666666666,0.9182,0.3939393939393939,0.038892618210451965,0.03951887571378892
usps,SSNP-KMeans,0.9153603642298771,0.959013515448272,0.4652905484482855,0.3059816569352186,0.8518,0.7268,0.3696969696969697,0.032576677501162055,0.03404464277299121
usps,SSNP-AG,0.8973333390602182,0.9628050568393323,0.4239127849764757,0.27480305128126525,0.8780666666666668,0.7724,0.05454545454545454,0.03456424376226197,0.03560317086454861
usps,AE,0.93200679781233,0.957979892907253,0.22175669334162668,0.7404136066960015,0.8572666666666668,0.6628,-0.4666666666666666,0.027985376242040467,0.029338552759886477
usps,TSNE,0.9893159465108954,0.9833835752942187,0.5078945554961387,36.068401152713264,0.9689333333333332,0.9412,0.5515151515151515,-99.0,-99.0
usps,UMAP,0.9717745783581021,0.9848029951607823,0.42985046832801194,0.8827286499428847,0.9576666666666668,0.9502,0.2606060606060606,-99.0,-99.0
usps,ISOMAP,0.8550206110586147,0.9734741688858346,0.6794029856877798,1.715829048715111,0.7615333333333333,0.6332,0.8666666666666665,-99.0,-99.0
usps,NNP,0.9611962317097614,0.9822804169172179,0.4758784468421689,0.8575352648718629,0.9548,0.938,0.5757575757575757,-99.0,-99.0
